Year;Month;Day;Max;Min;Rain, Melted Snow, Etc. (in);Snow, Ice, Pellets, Hail (in);Snow, Ice, Pellets, Hail, Ice on Ground (in)
2020;2;1;43;37;T;0;0
2020;2;2;45;35;0,07;T;0
2020;2;3;57;37;0;0;0
2020;2;4;61;43;T;0;0
2020;2;5;55;39;T;0;0
2020;2;6;41;35;0,51;0;0
2020;2;7;56;33;0,25;T;0
2020;2;8;41;30;0;0;0
2020;2;9;44;31;0;0;0
2020;2;10;47;42;0,37;0;0
2020;2;11;48;43;0,28;0;0
2020;2;12;46;37;0,13;0;0
2020;2;13;44;37;0,39;0;0
2020;2;14;40;18;0;0;0
2020;2;15;31;14;0;0;0
2020;2;16;44;30;0;0;0
2020;2;17;51;38;0;0;0
2020;2;18;47;38;T;0;0
2020;2;19;48;32;0;0;0
2020;2;20;35;26;0;0;0
2020;2;21;35;20;0;0;0
2020;2;22;50;30;0;0;0
2020;2;23;56;39;0;0;0
2020;2;24;62;41;0;0;0
2020;2;25;53;46;0,14;0;0
2020;2;26;48;43;T;0;0
2020;2;27;43;31;0,4;0;0
2020;2;28;42;29;0;0;0
2020;2;29;35;25;0;0;0
;;Summary;46;34;2,54;0;
