Year;Month;Day;Max;Min;Rain, Melted Snow, Etc. (in);Snow, Ice, Pellets, Hail (in);Snow, Ice, Pellets, Hail, Ice on Ground (in)
2020;1;1;41;34;0;0;0
2020;1;2;49;33;0;0;0
2020;1;3;49;44;0,15;0;0
2020;1;4;51;41;0,27;0;0
2020;1;5;42;35;T;0;0
2020;1;6;45;32;0,04;0,2;0
2020;1;7;45;36;T;0;0
2020;1;8;42;28;T;T;0
2020;1;9;34;23;0;0;0
2020;1;10;55;33;0;0;0
2020;1;11;69;51;0;0;0
2020;1;12;68;43;0,05;0;0
2020;1;13;46;37;0;0;0
2020;1;14;46;39;0,07;0;0
2020;1;15;50;41;T;0;0
2020;1;16;49;33;0,11;T;0
2020;1;17;33;21;0;0;0
2020;1;18;37;20;0,37;2,1;0
2020;1;19;43;27;T;0;1,2
2020;1;20;31;20;0;0;0
2020;1;21;33;20;0;0;0
2020;1;22;38;25;0;0;0
2020;1;23;47;33;0;0;0
2020;1;24;51;37;0;0;0
2020;1;25;51;38;0,85;0;0
2020;1;26;46;38;0;0;0
2020;1;27;45;37;0;0;0
2020;1;28;43;37;0;0;0
2020;1;29;41;31;0;0;0
2020;1;30;38;25;0;0;0
2020;1;31;44;33;0,02;0;0
;;Summary;45;33;1,93;2,3;
