Year;Month;Day;Max;Min;Rain, Melted Snow, Etc. (in);Snow, Ice, Pellets, Hail (in);Snow, Ice, Pellets, Hail, Ice on Ground (in)
2020;3;1;44;25;0;0;0
2020;3;2;58;40;0;0;0
2020;3;3;59;49;0,26;0;0
2020;3;4;56;45;T;0;0
2020;3;5;51;39;0;0;0
2020;3;6;45;37;0,37;0;0
2020;3;7;48;36;0;0;0
2020;3;8;59;35;0;0;0
2020;3;9;72;47;0;0;0
2020;3;10;65;54;T;0;0
2020;3;11;57;43;0;0;0
2020;3;12;50;43;0,03;0;0
2020;3;13;70;45;0,26;0;0
2020;3;14;57;43;0;0;0
2020;3;15;54;40;0;0;0
2020;3;16;45;33;0;0;0
2020;3;17;54;41;0,16;0;0
2020;3;18;54;41;T;0;0
2020;3;19;52;41;0,93;0;0
2020;3;20;77;47;T;0;0
2020;3;21;65;40;0;0;0
2020;3;22;45;33;0;0;0
2020;3;23;41;36;1,16;T;0
2020;3;24;55;36;0;0;0
2020;3;25;45;40;0,01;0;0
2020;3;26;60;38;0;0;0
2020;3;27;69;50;T;0;0
2020;3;28;54;44;0,45;0;0
2020;3;29;47;44;0,05;0;0
2020;3;30;52;41;0,04;0;0
2020;3;31;49;41;0,06;0;0
;;Summary;55;41;3,78;0;
